UAV Trajectory Coordinates
Step	X(m)	Y(m)	Z(m)	Distance_from_prev
547	50.000	15.192	10.000	0.551
548	50.000	15.412	10.000	0.220
549	50.000	16.312	10.109	0.907
550	50.000	16.514	10.584	0.516
551	50.000	17.343	10.764	0.848
552	50.000	17.300	11.275	0.513
553	50.000	18.531	11.541	1.260
554	50.000	18.418	12.891	1.354
555	50.000	16.476	13.271	1.979
556	50.000	13.843	12.703	2.693
557	50.000	13.056	11.887	1.134
558	50.000	11.514	11.445	1.605
559	50.000	11.452	11.624	0.190
560	50.000	11.080	12.417	0.875
561	50.000	12.746	14.285	2.503
562	50.000	12.446	14.431	0.334
563	50.000	13.150	14.047	0.802
564	50.000	14.547	14.409	1.443
565	50.000	14.867	13.548	0.919
566	50.000	17.753	14.208	2.961
567	50.000	19.894	13.655	2.211
568	48.914	21.255	12.834	1.925
569	49.229	24.056	12.500	2.838
570	48.438	25.048	12.857	1.318
571	48.548	26.035	12.740	1.000
572	50.000	27.436	11.481	2.378
573	50.000	27.625	11.270	0.284
574	50.000	28.396	11.135	0.783
575	50.000	31.035	10.000	2.873
576	50.000	31.699	10.000	0.664
577	50.000	30.665	10.000	1.035
578	50.000	29.742	10.000	0.923
579	50.000	29.139	10.000	0.603
580	50.000	26.407	10.478	2.774
581	50.000	23.546	11.229	2.958
582	49.982	21.988	11.037	1.569
583	49.630	21.085	11.283	1.000
584	50.000	19.716	11.066	1.434
585	50.000	19.337	10.678	0.543
586	50.000	16.801	10.000	2.625
587	50.000	15.633	10.000	1.168
588	50.000	14.122	10.000	1.512
589	50.000	13.143	10.000	0.979
590	50.000	11.268	10.542	1.951
591	50.000	8.225	10.676	3.046
592	50.000	8.507	10.000	0.733
593	50.000	9.264	10.000	0.757
594	50.000	12.583	10.000	3.319
595	50.000	13.942	10.000	1.359
596	50.000	17.293	10.000	3.351
597	50.000	18.004	10.576	0.915
598	50.000	19.659	10.002	1.752
599	50.000	19.834	10.000	0.175
600	50.000	19.891	10.000	0.057
601	50.000	20.509	10.000	0.618
602	50.000	20.697	10.000	0.188
603	50.000	19.277	10.000	1.420
604	50.000	17.965	10.000	1.313
605	50.000	17.286	10.000	0.678
606	50.000	17.506	10.000	0.220
607	50.000	18.387	10.050	0.882
608	50.000	18.492	10.037	0.106
609	50.000	21.751	11.832	3.720
610	50.000	22.144	12.285	0.600
611	50.000	22.686	12.551	0.604
612	50.000	23.911	13.503	1.551
613	50.000	26.089	14.185	2.282
614	50.000	26.315	14.967	0.814
615	50.000	25.164	15.538	1.285
616	50.000	26.252	15.273	1.120
617	50.000	29.043	14.803	2.830
618	50.000	29.357	15.002	0.371
619	50.000	28.826	14.896	0.541
620	50.000	29.720	13.014	2.084
621	50.000	29.187	12.972	0.535
622	50.000	29.294	11.822	1.155
623	50.000	30.028	11.738	0.739
624	50.000	30.070	12.021	0.286
625	50.000	27.590	14.986	3.866
626	50.000	27.640	15.328	0.345
627	50.000	26.537	15.046	1.138
628	50.000	27.700	13.240	2.148
629	50.000	27.187	13.097	0.532
630	50.000	28.547	12.696	1.418
631	50.000	30.654	13.387	2.217
632	50.000	31.658	13.198	1.021
633	50.000	33.512	12.174	2.117
634	50.000	35.329	11.832	1.849
635	50.000	34.692	12.142	0.708
636	50.000	35.274	12.005	0.598
637	50.000	34.802	12.578	0.743
638	50.000	37.138	14.111	2.794
639	50.000	38.638	14.023	1.503
640	49.389	42.097	14.623	3.563
641	46.583	44.061	15.773	3.612
642	45.862	44.750	15.704	1.000
643	45.803	47.403	15.028	2.739
644	47.233	48.899	15.327	2.091
645	48.092	48.933	15.838	1.000
646	50.000	50.000	16.412	2.260
647	50.000	50.000	17.866	1.455
648	50.000	50.000	18.345	0.478
649	50.000	50.000	20.417	2.073
650	50.000	50.000	21.796	1.379
651	50.000	49.492	22.316	0.727
652	50.000	50.000	24.699	2.437
653	50.000	50.000	24.942	0.243
654	50.000	49.450	24.795	0.569
655	50.000	50.000	23.967	0.994
656	50.000	50.000	23.263	0.703
657	50.000	49.300	23.306	0.701
658	50.000	48.395	23.728	0.999
659	50.000	46.133	23.872	2.266
660	50.000	44.447	24.318	1.744
661	49.959	43.290	24.675	1.211
662	48.392	41.051	26.938	3.549
663	47.189	38.324	27.857	3.119
664	48.587	34.716	30.000	4.423
665	49.636	32.965	30.000	2.041
666	50.000	32.236	30.000	0.815
667	50.000	34.343	30.000	2.107
668	50.000	33.351	30.000	0.992
669	50.000	32.964	30.000	0.387
670	50.000	33.222	30.000	0.258
671	50.000	35.906	30.000	2.684
672	49.997	36.902	29.910	1.000
673	50.000	39.333	28.115	3.022
674	50.000	39.337	28.011	0.103
675	50.000	41.532	26.390	2.729
676	49.998	42.349	25.813	1.000
677	50.000	45.408	23.815	3.654
678	50.000	45.418	21.887	1.928
679	50.000	48.529	21.235	3.179
680	49.990	50.000	20.274	1.757
681	50.000	50.000	18.817	1.457
682	50.000	50.000	17.837	0.980
683	50.000	50.000	17.869	0.032
684	50.000	48.793	17.692	1.220
685	50.000	44.177	17.696	4.617
